window,decoding,window_size,inference_seconds,cer_before,cer_after,weighting,improvement
disjoint,greedy,100,26.267442828044295,18.232815597632133,19.300345446039262,,-5.854991746561455
disjoint,greedy,50,45.49393588490784,18.232815597632133,16.693378110462707,,8.443224135768423
disjoint,beam,100,165.12927645724267,18.232815597632133,23.962775866727767,,-31.426634237664185
disjoint,beam,50,182.17215043399483,18.232815597632133,18.26285715848152,,-0.16476643823069015
sliding,greedy,50,799.0793050359935,18.232815597632133,16.08468294406717,uniform,11.781683646512276
sliding,greedy,50,800.9516515042633,18.232815597632133,16.13793544255732,triangle,11.48961411833107
sliding,greedy,50,801.826574309729,18.232815597632133,16.155901538087136,bell,11.391076975597358
sliding,beam,50,7642.938647044823,18.232815597632133,19.08511998226099,uniform,-4.674562631673562
sliding,beam,50,8231.833408758976,18.232815597632133,19.2888646962135,triangle,-5.79202423743328
sliding,beam,50,7641.449892055243,18.232815597632133,19.32701318038928,bell,-6.001254040540216
