window,decoding,window_size,inference_seconds,cer_before,cer_after,weighting,improvement
disjoint,greedy,100,14.859516060911119,5.899351798488326,6.540121546024475,,-10.86169751226469
disjoint,greedy,50,29.02689972706139,5.899351798488326,5.632581594994608,,4.522025683602671
disjoint,beam,100,62.836665561422706,5.899351798488326,6.410088681823326,,-8.657508498914623
disjoint,beam,50,112.77391156926751,5.899351798488326,5.588116775333093,,5.275749502428139
sliding,greedy,50,509.60818426217884,5.899351798488326,4.739319728458809,uniform,19.66372085704007
sliding,greedy,50,510.2563256546855,5.899351798488326,4.757882675534255,triangle,19.3490600653205
sliding,greedy,50,510.6280968626961,5.899351798488326,4.76277580291792,bell,19.266116590328565
sliding,beam,50,2822.7850763862953,5.899351798488326,4.657626525363013,uniform,21.048503556670372
sliding,beam,50,2809.013018622063,5.899351798488326,4.673095231437254,triangle,20.786293290142368
sliding,beam,50,2823.151028056629,5.899351798488326,4.679353545360869,bell,20.680208517825204
