window,decoding,window_size,inference_seconds,cer_before,cer_after,weighting,improvement
disjoint,greedy,100,201.0469787750044,9.40346216919809,14.058532754385105,,-49.50379446875566
disjoint,greedy,50,384.34330781700555,9.40346216919809,11.854284841983832,,-26.062982215355103
disjoint,beam,100,685.3093402700033,9.40346216919809,12.523459484821778,,-33.179240363655936
disjoint,beam,50,853.4132158059947,9.40346216919809,10.841140242850589,,-15.288816478272715
sliding,greedy,50,3116.7831269129965,9.40346216919809,8.682369878914663,uniform,7.668370195027007
sliding,greedy,50,3162.356584639987,9.40346216919809,8.736343196157724,triangle,7.0943973723377685
sliding,greedy,50,3190.5574889540003,9.40346216919809,8.756590881239095,bell,6.879075773579235
sliding,beam,50,27155.497719870982,9.40346216919809,8.574175136260994,uniform,8.81895431720353
sliding,beam,50,26617.711186319008,9.40346216919809,8.604969734789353,triangle,8.49147282183228
sliding,beam,50,26606.899968970014,9.40346216919809,8.612305146340116,bell,8.413465260162168
