window,decoding,window_size,inference_seconds,cer_before,cer_after,weighting,improvement
disjoint,greedy,100,36.72890195809305,27.3023213202716,25.276101417978744,,7.421419880471536
disjoint,greedy,50,65.39534261031076,27.3023213202716,27.206083076595036,,0.35249106677646136
disjoint,beam,100,217.09886752208695,27.3023213202716,25.10258457643924,,8.056958666730962
disjoint,beam,50,284.35511110397056,27.3023213202716,31.82993673016226,,-16.583261755581823
sliding,greedy,50,1271.230220851954,27.3023213202716,22.697197754323287,uniform,16.867150276079535
sliding,greedy,50,1265.0296746869572,27.3023213202716,22.743106029430752,triangle,16.699002393820972
sliding,greedy,50,1242.3711427333765,27.3023213202716,22.762528195053132,bell,16.62786497882044
sliding,beam,50,9268.602352974005,27.3023213202716,22.692010900712177,uniform,16.88614812446856
sliding,beam,50,8832.871935131028,27.3023213202716,22.751905404349582,triangle,16.666772991728706
sliding,beam,50,8893.326647398062,27.3023213202716,22.77550217582833,bell,16.58034528031933
