window,decoding,window_size,inference_seconds,cer_before,cer_after,weighting,improvement
disjoint,greedy,100,13.233945362269878,16.417296963576458,17.607373666220376,,-7.248919875691051
disjoint,greedy,50,23.836154671385884,16.417296963576458,20.903794254323426,,-27.327868288554114
disjoint,beam,100,53.890097150579095,16.417296963576458,17.361882041155027,,-5.753596829455132
disjoint,beam,50,73.31659009866416,16.417296963576458,19.729926517717896,,-20.17767944071953
sliding,greedy,50,294.2001916607842,16.417296963576458,15.404745656760129,uniform,6.167588422520365
sliding,greedy,50,294.8671800494194,16.417296963576458,15.417594067021241,triangle,6.089326999281097
sliding,greedy,50,295.23529795277864,16.417296963576458,15.413351712124276,bell,6.115167762875595
sliding,beam,50,2476.624460925348,16.417296963576458,15.177653666792452,uniform,7.550836776201885
sliding,beam,50,2918.4588204836473,16.417296963576458,15.204251241183181,triangle,7.388827314779956
sliding,beam,50,2447.995076314546,16.417296963576458,15.24091166322935,bell,7.1655236727278915
